Subdomain,IP,Cloudflare
climateadaptation80.hawaii.gov,104.16.146.70,true
clinicalpersonnellicense.doh.hawaii.gov,2.18.64.17,false
cln-cls-prod-statelab.doh.hawaii.gov,20.57.185.57,false
cln-cls-test-statelab.doh.hawaii.gov,20.57.185.57,false
conf.hawaii.gov,66.135.229.11,false
connect.doh.hawaii.gov,18.245.46.21,false
connect.hawaii.gov,104.16.146.70,true
consumeradvocate.hawaii.gov,104.16.146.70,true
consumercomplaint.hawaii.gov,104.16.146.70,true
contractawards.hawaii.gov,162.221.244.21,false
controlasthma.hawaii.gov,104.16.146.70,true
coral.hawaii.gov,104.16.147.70,true
covid19.hawaii.gov,104.16.146.70,true
cpanel.kahoolawe.hawaii.gov,96.125.178.145,false
cpcalendars.kahoolawe.hawaii.gov,96.125.178.145,false
cpcontacts.kahoolawe.hawaii.gov,96.125.178.145,false
creativecloud.hawaii.gov,104.16.146.70,true
creativecloud80.hawaii.gov,104.16.146.70,true
creativelab-dev.hawaii.gov,104.16.146.70,true
creativelab.hawaii.gov,104.16.146.70,true
creativelab80.hawaii.gov,104.16.146.70,true
csc.hawaii.gov,162.221.244.109,false
cwrm-dlnr.hawaii.gov,162.221.244.187,false
d13-aws.hawaii.gov,104.16.146.70,true
dags.hawaii.gov,162.221.245.194,false
dams.hawaii.gov,162.221.244.105,false
dashboard.hawaii.gov,162.221.244.172,false
data.capitol.hawaii.gov,104.18.40.178,true
data.hawaii.gov,104.16.146.70,true
dbedt-dev.hawaii.gov,104.16.146.70,true
dbedt.hawaii.gov,104.16.146.70,true
dbedt80.hawaii.gov,104.16.146.70,true
dcca80.hawaii.gov,104.16.146.70,true
dcr-dev.hawaii.gov,104.16.146.70,true
dcr.hawaii.gov,104.16.146.70,true
defenseeconomy-dev.hawaii.gov,104.16.146.70,true
defenseeconomy.hawaii.gov,104.16.146.70,true
defenseeconomydev.hawaii.gov,52.24.6.147,false
defenseeconomytst.hawaii.gov,104.16.146.70,true
dev-id.hawaii.gov,35.244.230.38,false
dev-my.hawaii.gov,104.16.146.70,true
dev.ais.hawaii.gov,99.86.91.20,false
dev.healthpass.doh.hawaii.gov,18.66.112.36,false
dev.locator.hawaii.gov,162.221.244.57,false
dev.login.hawaii.gov,13.107.246.45,false
dhhl.hawaii.gov,104.16.146.70,true
dhhl80.hawaii.gov,104.16.146.70,true
dhhl81.hawaii.gov,104.16.146.70,true
dhrd-dev.hawaii.gov,104.16.146.70,true
dhrd.hawaii.gov,104.16.146.70,true
dhrd80.hawaii.gov,104.16.146.70,true
dhs.hawaii.gov,132.160.237.2,false
dhsgrants-uat.hawaii.gov,52.247.175.244,false
dhsgrants.hawaii.gov,52.127.34.96,false
dhsivr.dhs.hawaii.gov,162.221.245.67,false
dhsivrdweb.dhs.hawaii.gov,162.221.245.68,false
dhswebtest.dhs.hawaii.gov,162.221.245.94,false
dialin.hawaii.gov,66.135.229.13,false
digitalarchives.hawaii.gov,162.221.245.154,false
digitalcollections.hawaii.gov,162.221.244.169,false
digitalvoterguide.hawaii.gov,141.193.213.11,false
dle.hawaii.gov,104.16.146.70,true
dlir-vdi.hawaii.gov,162.221.245.102,false
dliruiicon.hawaii.gov,162.221.244.133,false
dlirvdi.hawaii.gov,162.221.245.102,false
dlnr-dev.hawaii.gov,104.16.146.70,true
dlnr-docs.hawaii.gov,104.16.146.70,true
dlnr-docs80.hawaii.gov,104.16.146.70,true
dlnr-mdm.hawaii.gov,162.221.244.164,false
dlnr.hawaii.gov,104.16.146.70,true
dlnr80.hawaii.gov,104.16.146.70,true
dlnrcx.dlnr.hawaii.gov,52.41.163.230,false
dms.puc.hawaii.gov,162.221.244.40,false
docd-phinmsext.doh.hawaii.gov,162.221.245.17,false
docddev.hawaii.gov,104.16.146.70,true
docdhelpdesk.doh.hawaii.gov,162.221.245.16,false
docdredcap.doh.hawaii.gov,162.221.245.36,false
docs.dot.hawaii.gov,132.160.244.155,false
dod-dev.hawaii.gov,104.16.146.70,true
dod.hawaii.gov,104.16.146.70,true
dod80.hawaii.gov,104.16.146.70,true
doh.hawaii.gov,132.160.235.5,false
dohbcs.doh.hawaii.gov,162.221.245.106,false
dohcolab.doh.hawaii.gov,162.221.245.49,false
dohdocdeas.doh.hawaii.gov,52.88.14.19,false
dohminitst.hawaii.gov,104.16.146.70,true
dohtest.hawaii.gov,104.16.146.70,true
dotfrmcl1.dot.hawaii.gov,10.156.18.4,false
dotntnxcl1.dot.hawaii.gov,10.156.19.4,false
dps.hawaii.gov,104.16.146.70,true
dps80.hawaii.gov,104.16.146.70,true
drfntnxcl1.dot.hawaii.gov,10.156.209.4,false
duogw1.dhs.hawaii.gov,162.221.245.241,false
duonetgw1.dhs.hawaii.gov,162.221.245.94,false
earlylearning-dev.hawaii.gov,104.16.146.70,true
earlylearning.hawaii.gov,104.16.146.70,true
earlylearning80.hawaii.gov,104.16.146.70,true
edohcolab.doh.hawaii.gov,162.221.245.49,false
eeo-dev.hawaii.gov,104.16.146.70,true
eeo.hawaii.gov,104.16.146.70,true
eeo80.hawaii.gov,104.16.146.70,true
efs.hawaii.gov,104.16.146.70,true
eha-cloud.doh.hawaii.gov,54.191.92.189,false
eha-gis.doh.hawaii.gov,52.89.139.217,false
eha-test-cloud.doh.hawaii.gov,54.191.38.88,false
eha-web.doh.hawaii.gov,132.160.235.151,false
eiirp.hawaii.gov,143.204.98.47,false
elections-dev.hawaii.gov,104.16.146.70,true
elections.hawaii.gov,104.16.146.70,true
elections2.hawaii.gov,132.160.224.155,false
electionsdev.hawaii.gov,35.162.100.210,false
electionsdev80.hawaii.gov,104.16.146.70,true
electionsrh8.hawaii.gov,44.228.117.88,false
energy-dev.hawaii.gov,104.16.146.70,true
energy.hawaii.gov,104.16.146.70,true
energy2022.hawaii.gov,104.16.146.70,true
energy80.hawaii.gov,104.16.146.70,true
env-cls-prod-statelab.doh.hawaii.gov,20.57.185.57,false
env-cls-test-statelab.doh.hawaii.gov,20.57.185.57,false
eot.m.fw.dlnr.hawaii.gov,34.255.101.145,false
eot.notify.hawaii.gov,34.255.101.145,false
eportal.dhs.hawaii.gov,162.221.245.56,false
epsdt-forms-uat.hawaii.gov,104.16.146.70,true
epsdt-forms-uat91.statehub.hawaii.gov,162.221.245.244,false
epsdt-forms.hawaii.gov,104.16.146.70,true
epsdt-forms.statehub.hawaii.gov,162.221.245.243,false
esign-dev.hawaii.gov,104.16.146.70,true
esign.hawaii.gov,104.16.146.70,true
esign80.hawaii.gov,104.16.146.70,true
esp.doh.hawaii.gov,162.221.245.49,false
estip.hawaii.gov,13.64.132.235,false
estipidentity.hawaii.gov,13.64.132.235,false
ethics-dev.hawaii.gov,104.16.146.70,true
ethics.hawaii.gov,104.16.146.70,true
ethics80.hawaii.gov,104.16.146.70,true
ets-dev.hawaii.gov,104.16.146.70,true
ets-vdi.hawaii.gov,52.250.118.124,false
ets-vpn.hawaii.gov,162.221.244.94,false
ets.hawaii.gov,104.16.146.70,true
ets80.hawaii.gov,104.16.146.70,true
ets80b.hawaii.gov,104.16.146.70,true
etsmft-dev.hawaii.gov,162.221.244.85,false
etsmft-test.hawaii.gov,162.221.244.86,false
etsmft.hawaii.gov,162.221.244.87,false
eutf-dev.hawaii.gov,104.16.146.70,true
eutf.hawaii.gov,104.16.146.70,true
eutf80.hawaii.gov,104.16.146.70,true
eutfbenefits.hawaii.gov,18.245.46.28,false
eutfemployersonly.hawaii.gov,104.16.146.70,true
eutfvirtualfair.hawaii.gov,104.16.146.70,true
exbi.doh.hawaii.gov,162.221.245.49,false
federalawards-dev.hawaii.gov,104.16.146.70,true
federalawards.hawaii.gov,104.16.146.70,true
federalawards80.hawaii.gov,104.16.147.70,true
federalsurplus.hawaii.gov,72.3.181.211,false
files-dothar.hawaii.gov,162.221.244.160,false
files-har.hidot.hawaii.gov,162.221.244.160,false
files.hawaii.gov,162.221.244.194,false
filmoffice-dev.hawaii.gov,104.16.146.70,true
filmoffice.hawaii.gov,104.16.146.70,true
filmoffice80.hawaii.gov,104.16.146.70,true
floodplan.hawaii.gov,162.221.244.186,false
fs.hawaii.gov,132.160.215.109,false
fssadmin.hawaii.gov,72.3.181.211,false
ftp2.dot.hawaii.gov,132.160.244.139,false
ftpftp.dcca.hawaii.gov,162.221.245.216,false
gascap.hawaii.gov,104.16.146.70,true
gems-dev.hawaii.gov,104.16.146.70,true
gems.hawaii.gov,104.16.146.70,true
gems80.hawaii.gov,104.16.146.70,true
geodata.hawaii.gov,54.183.189.204,false
geoportal.hawaii.gov,23.23.51.121,false
getscreened.hawaii.gov,104.16.146.70,true
gis-dothar.hawaii.gov,162.221.244.159,false
gis-har.hidot.hawaii.gov,162.221.244.159,false
gis.hawaii.gov,104.16.146.70,true
go-elections.hawaii.gov,104.16.146.70,true
gostateparks.hawaii.gov,3.165.136.25,false
gostateparksadmin.hawaii.gov,54.189.171.35,false
gostateparksapi.hawaii.gov,54.189.171.35,false
gostateparkspuc.hawaii.gov,54.189.171.35,false
gostateparksvendor.hawaii.gov,54.189.171.35,false
govcrm-docs.hawaii.gov,20.82.22.191,false
govcrm.hawaii.gov,52.127.2.96,false
governor-dev.hawaii.gov,104.16.146.70,true
governor.hawaii.gov,104.16.146.70,true
governor80.hawaii.gov,104.16.146.70,true
governorige.hawaii.gov,104.16.146.70,true
grants.hawaii.gov,104.16.146.70,true
greenbusiness-dev.hawaii.gov,104.16.146.70,true
greenbusiness.hawaii.gov,104.16.146.70,true
greenbusiness80.hawaii.gov,104.16.146.70,true
hacc-dev.hawaii.gov,104.16.146.70,true
hacc.hawaii.gov,104.16.146.70,true
hacc80.hawaii.gov,104.16.146.70,true
hale.hawaii.gov,104.16.147.70,true
han.doh.hawaii.gov,18.222.61.39,false
harborstst.hawaii.gov,104.16.146.70,true
hawaii2050-dev.hawaii.gov,104.16.146.70,true
hawaii2050.hawaii.gov,104.16.146.70,true
hawaiiagrproducts.hawaii.gov,35.158.127.51,false
hawaiibirdingtrails-dev.hawaii.gov,104.16.146.70,true
hawaiibirdingtrails.hawaii.gov,104.16.146.70,true
hawaiibirdingtrails80.hawaii.gov,104.16.146.70,true
hawaiienhanced911.hawaii.gov,104.16.146.70,true
hawaiinovape.hawaii.gov,104.16.146.70,true
hawaiistaterecovers.hawaii.gov,13.225.78.127,false
hawaiitraumaregistry.hawaii.gov,146.88.179.53,false
hcnp-dev.hawaii.gov,104.16.146.70,true
hcnp.hawaii.gov,104.16.146.70,true
hcnp80.hawaii.gov,104.16.146.70,true
hcsoc-data.hawaii.gov,13.248.244.96,false
hcsoc-dev.hawaii.gov,104.16.146.70,true
hcsoc.hawaii.gov,104.16.146.70,true
hdcca-d.hawaii.gov,104.16.146.70,true
hdcca-t.hawaii.gov,104.16.146.70,true
hdcca.hawaii.gov,104.16.146.70,true
hdoa-dev.hawaii.gov,104.16.146.70,true
hdoa.hawaii.gov,104.16.146.70,true
hdoa.inforps-dp.hawaii.gov,52.89.234.187,false
hdoa80.hawaii.gov,104.16.146.70,true
hdoa80b.hawaii.gov,104.16.146.70,true
health-dev.hawaii.gov,104.16.146.70,true
health.dev.healthpass.doh.hawaii.gov,13.33.187.28,false
health.hawaii.gov,104.16.146.70,true
health80.hawaii.gov,104.16.146.70,true
healthcamhd.hawaii.gov,104.16.146.70,true
healthpass.doh.hawaii.gov,13.35.58.60,false
healthpias.hawaii.gov,104.16.146.70,true
healthybydefault.hawaii.gov,104.16.146.70,true
heids.doh.hawaii.gov,209.166.154.133,false
hha.hawaii.gov,104.16.146.70,true
hha80.hawaii.gov,104.16.146.70,true
hhsp.hawaii.gov,3.123.231.150,false
hibcs.doh.hawaii.gov,162.221.245.108,false
hibcs.hawaii.gov,162.221.245.108,false
hibha.hawaii.gov,104.16.146.70,true
hican.hawaii.gov,18.239.69.73,false
hicares.hawaii.gov,45.40.145.151,false
hicares80.hawaii.gov,104.16.146.70,true
hicdx.doh.hawaii.gov,132.160.235.151,false
hiconnect.hawaii.gov,104.16.146.70,true
hicris.beta.hawaii.gov,20.189.138.131,false
hicrisbeta.hawaii.gov,20.189.138.131,false
hicsc.hawaii.gov,52.206.68.26,false
hicscdata.hawaii.gov,52.206.68.26,false
hicsts.hawaii.gov,52.222.60.71,false
hidot.hawaii.gov,104.16.146.70,true
hidot80.hawaii.gov,104.16.146.70,true
hiedss-dev.doh.hawaii.gov,20.29.211.150,false
hiedss-uat.doh.hawaii.gov,45.223.105.34,false
hiedss.doh.hawaii.gov,45.223.60.234,false
hiema-hub.hawaii.gov,104.16.146.70,true
highways.hidot.hawaii.gov,52.206.68.26,false
hiilei.hawaii.gov,104.16.146.70,true
hiilei80.hawaii.gov,104.16.146.70,true
hijis-dev.hawaii.gov,104.16.146.70,true
hijis.hawaii.gov,104.16.146.70,true
hijis80.hawaii.gov,104.16.146.70,true
hip.hawaii.gov,208.111.61.101,false
hipop.ais.hawaii.gov,18.245.86.128,false
hiprox.hawaii.gov,162.221.245.231,false
hipservice.hawaii.gov,35.158.127.51,false
hipservice2.hawaii.gov,35.158.127.51,false
hir.doh.hawaii.gov,3.214.5.34,false
hisam.hawaii.gov,104.16.146.70,true
hisam80.hawaii.gov,104.16.146.70,true
hisc.hawaii.gov,104.16.146.70,true
hitax.hawaii.gov,170.10.97.42,false
hitaxe2e.hawaii.gov,162.221.245.105,false
hitaxstaging.hawaii.gov,170.10.97.41,false
hitrack5.doh.hawaii.gov,162.221.245.33,false
hitrackweb.doh.hawaii.gov,162.221.245.14,false
hiwin.hawaii.gov,104.16.146.70,true
hiwin80.hawaii.gov,104.16.146.70,true
hmoab-dev.hawaii.gov,104.16.146.70,true
hmoab.hawaii.gov,104.16.147.70,true
hmoab80.hawaii.gov,104.16.146.70,true
hoku.hawaii.gov,129.153.125.52,false
hokucms.hawaii.gov,129.153.125.52,false
hokurpt.hawaii.gov,129.153.125.52,false
homelessness-dev.hawaii.gov,104.16.146.70,true
homelessness.hawaii.gov,104.16.146.70,true
homelessness80.hawaii.gov,104.16.146.70,true
housing-planning.hawaii.gov,104.16.146.70,true
housing.hawaii.gov,132.160.237.196,false
hpha.hawaii.gov,35.152.104.113,false
hsdc.hawaii.gov,104.16.146.70,true
hsfc.hawaii.gov,104.16.146.70,true
huiclaimdlir.hawaii.gov,74.203.83.202,false
huiclaims.hawaii.gov,18.238.243.42,false
huiclaims2.hawaii.gov,44.241.18.123,false
huiclaims3.hawaii.gov,108.138.26.75,false
huiclaimsdlir.hawaii.gov,74.203.83.202,false
humanservices-dev.hawaii.gov,104.16.146.70,true
humanservices.hawaii.gov,104.16.146.70,true
humanservices80.hawaii.gov,104.16.146.70,true
humanservicestst.hawaii.gov,34.223.215.133,false
hwypgis.dot.hawaii.gov,162.221.245.169,false
icg.dot.hawaii.gov,162.221.245.167,false
icis-dev.hawaii.gov,104.16.146.70,true
icis.hawaii.gov,104.16.146.70,true
icis80.hawaii.gov,104.16.146.70,true
icsdftpa1.hawaii.gov,132.160.220.10,false
identity.ais.hawaii.gov,18.155.129.77,false
identity.ecms.dcd.dlir.hawaii.gov,3.160.150.47,false
idtheft.hawaii.gov,104.16.146.70,true
ih-a0.hawaii.gov,143.198.137.239,false
ih.hawaii.gov,143.198.106.147,false
immunization.doh.hawaii.gov,162.221.245.12,false
inforps-dp.hawaii.gov,104.16.146.70,true
insurance.hawaii.gov,104.16.146.70,true
int-climate-resilience.hidot.hawaii.gov,34.149.43.120,false
int-safety-tool-hidot.hawaii.gov,35.227.229.156,false
interoperability.doh.hawaii.gov,45.79.72.139,false
investing.hawaii.gov,104.16.146.70,true
investorrelations-dev.hawaii.gov,104.16.146.70,true
investorrelations.hawaii.gov,104.16.146.70,true
investorrelations80.hawaii.gov,104.16.146.70,true
invicta.hawaii.gov,162.221.244.44,false
iolakanaloa.kahoolawe.hawaii.gov,96.125.178.145,false
ips-tdp.hawaii.gov,162.221.244.79,false
ipsc-dev.hawaii.gov,104.16.146.70,true
ipsc.hawaii.gov,104.16.146.70,true
ipsc80.hawaii.gov,104.16.146.70,true
iq.hawaii.gov,208.95.153.20,false
itg.hawaii.gov,104.16.146.70,true
iwp.hawaii.gov,104.16.146.70,true
jimspss1.courts.hawaii.gov,162.221.245.242,false
jobs-dev.hawaii.gov,104.16.146.70,true
jobs.hawaii.gov,104.16.146.70,true
jobs80.hawaii.gov,104.16.146.70,true
kahoolawe.hawaii.gov,96.125.178.145,false
kamehamehaday.hawaii.gov,104.16.146.70,true
kb00-asavpn01.hawaii.gov,132.160.223.20,false
kokuaoffers.hawaii.gov,104.16.146.70,true
koloaiki-dev.hawaii.gov,104.16.146.70,true
koloaiki.hawaii.gov,104.16.146.70,true
kui.medquest.hawaii.gov,20.171.83.112,false
labor-dev.hawaii.gov,104.16.146.70,true
labor-stage.hawaii.gov,104.16.146.70,true
labor.hawaii.gov,104.16.146.70,true
labor80.hawaii.gov,104.16.146.70,true
labor80b.hawaii.gov,104.16.146.70,true
law.hawaii.gov,104.16.146.70,true
lawhelpdesk.hawaii.gov,162.159.140.147,true
lead.hawaii.gov,104.16.146.70,true
lead80.hawaii.gov,104.16.147.70,true
leadbyexample.hawaii.gov,104.16.146.70,true
legmon.hawaii.gov,74.121.200.217,false
legmontrain.hawaii.gov,74.121.200.218,false
library.lrb.hawaii.gov,172.99.116.82,false
licensedcontractor.hawaii.gov,104.16.146.70,true
links.medquest.hawaii.gov,3.225.122.169,false
livinghealthy.hawaii.gov,200.69.24.42,false
livinglibrary.kahoolawe.hawaii.gov,96.125.178.145,false
locator.hawaii.gov,104.16.146.70,true
login.hawaii.gov,13.107.246.45,false
lrb-dev.hawaii.gov,104.16.146.70,true
lrb.hawaii.gov,104.16.146.70,true
lrb80.hawaii.gov,104.16.146.70,true
lrp.doh.hawaii.gov,104.16.146.70,true
lrp.health.hawaii.gov,104.16.146.70,true
ltgov-dev.hawaii.gov,104.16.146.70,true
ltgov.hawaii.gov,104.16.146.70,true
ltgov80.hawaii.gov,104.16.146.70,true
ltgovgreen.hawaii.gov,104.16.146.70,true
lts.doh.hawaii.gov,162.221.245.81,false
luc-dev.hawaii.gov,104.16.146.70,true
luc.hawaii.gov,104.16.146.70,true
luc80.hawaii.gov,104.16.146.70,true
lync-owapp.hawaii.gov,66.135.229.14,false
lyncwebpool.hawaii.gov,66.135.229.13,false
m01ags-papp01.hawaii.gov,162.221.244.193,false
madein.hawaii.gov,104.16.146.70,true
mail.dot.hawaii.gov,132.160.244.153,false
mail.kahoolawe.hawaii.gov,96.125.178.145,false
mail.spcsc.hawaii.gov,142.250.186.147,false
mail1.dhs.hawaii.gov,162.221.245.59,false
mail2.dhs.hawaii.gov,162.221.245.60,false
mauilandlordtenantfaqs.hawaii.gov,104.16.146.70,true
mauistrong.hawaii.gov,104.16.146.70,true
mcch-dev.hawaii.gov,104.16.146.70,true
mcch.hawaii.gov,104.16.146.70,true
mcctv.dot.hawaii.gov,162.221.245.19,false
media3.hawaii.gov,162.221.244.24,false
medicaid.hawaii.gov,104.16.146.70,true
medical-uat.mybenefits.hawaii.gov,104.16.146.70,true
medical.mybenefits.hawaii.gov,104.16.146.70,true
medquest-uat.hawaii.gov,104.16.146.70,true
medquest-uat91.statehub.hawaii.gov,162.221.244.204,false
medquest.hawaii.gov,104.16.146.70,true
meet.hawaii.gov,66.135.229.13,false
mh2scis.dot.hawaii.gov,162.221.245.246,false
mimic.dcca.hawaii.gov,162.221.245.177,false
mimic2.dcca.hawaii.gov,162.221.245.55,false
mimic3.dcca.hawaii.gov,162.221.246.156,false
mimic4.dcca.hawaii.gov,162.221.245.66,false
mimic5.dcca.hawaii.gov,162.221.245.220,false
mobile.dcca.hawaii.gov,132.160.229.70,false
mobile.dot.hawaii.gov,132.160.244.151,false
msoid.capitol.hawaii.gov,20.190.159.71,false
musicarchives.hawaii.gov,104.16.146.70,true
mybenefits-dev.hawaii.gov,104.16.146.70,true
mybenefits.hawaii.gov,104.16.146.70,true
mybenefits80.hawaii.gov,104.16.146.70,true
myce-d.dcca.hawaii.gov,52.42.57.167,false
myce-t.dcca.hawaii.gov,54.213.158.47,false
myce.dcca.hawaii.gov,44.238.211.58,false
myidentity.dhs.hawaii.gov,162.221.245.89,false
mypvl-d.dcca.hawaii.gov,104.18.38.179,true
mypvl-lbtest.dcca.hawaii.gov,54.200.91.137,false
mypvl-t.dcca.hawaii.gov,104.16.146.70,true
mypvl.dcca.hawaii.gov,104.18.34.12,true
nased.hawaii.gov,107.180.51.79,false
nc.csc.hawaii.gov,162.221.245.235,false
nc.hawaii.gov,52.206.68.26,false
ned.hawaii.gov,67.52.91.115,false
nedsbs.ned.hawaii.gov,67.52.91.114,false
nelha-dev.hawaii.gov,104.16.146.70,true
nelha.hawaii.gov,104.16.146.70,true
nelha80.hawaii.gov,104.16.146.70,true
newoahujail.hawaii.gov,35.215.125.144,false
newop.hawaii.gov,104.16.146.70,true
nibrs.hawaii.gov,104.16.146.70,true
nlk.doh.hawaii.gov,75.2.18.82,false
nogethurt.hawaii.gov,104.16.146.70,true
nogethurt80.hawaii.gov,104.16.146.70,true
notes1.dcca.hawaii.gov,132.160.229.67,false
ns4.hawaii.gov,162.221.245.155,false
ns5.hawaii.gov,162.221.245.156,false
o365-dev.hawaii.gov,104.16.146.70,true
o365.hawaii.gov,104.16.146.70,true
o36580.hawaii.gov,104.16.146.70,true
oceansafety-dev.hawaii.gov,104.16.146.70,true
oceansafety.hawaii.gov,104.16.146.70,true
